Frame,Blur,Brightness,Contrast,Sharpness,Noise,Width,Height
motion_0090.jpg,2348.57,82.94,57.96,112.0,48.46,320,240
motion_0091.jpg,2347.58,83.04,58.07,112.33,48.45,320,240
motion_0092.jpg,2358.44,82.86,57.93,112.92,48.56,320,240
motion_0093.jpg,2364.21,82.84,57.93,113.1,48.62,320,240
motion_0094.jpg,2401.84,83.54,58.27,113.97,49.01,320,240
motion_0095.jpg,2404.48,83.64,58.31,114.17,49.04,320,240
motion_0096.jpg,2409.4,83.81,58.32,114.56,49.09,320,240
motion_0097.jpg,2419.01,83.94,58.34,115.01,49.18,320,240
motion_0098.jpg,2422.92,84.0,58.33,115.09,49.22,320,240
motion_0099.jpg,2428.6,84.43,58.67,115.32,49.28,320,240
motion_0100.jpg,2433.66,84.54,58.75,115.47,49.33,320,240
motion_0101.jpg,2435.95,84.68,58.92,115.54,49.36,320,240
motion_0102.jpg,2441.18,85.87,59.22,115.62,49.41,320,240
motion_0103.jpg,2421.37,85.92,59.51,115.31,49.21,320,240
motion_0104.jpg,2409.25,85.97,59.47,115.09,49.08,320,240
motion_0105.jpg,2400.32,86.34,59.64,114.94,48.99,320,240
motion_0106.jpg,2413.65,86.23,59.45,115.43,49.13,320,240
motion_0107.jpg,2411.87,85.99,59.23,115.64,49.11,320,240
motion_0108.jpg,2409.18,85.87,59.09,115.36,49.08,320,240
motion_0109.jpg,2461.01,86.02,59.04,116.21,49.61,320,240
motion_0110.jpg,2453.34,86.01,59.2,116.07,49.53,320,240
motion_0111.jpg,2457.75,86.06,59.26,116.26,49.58,320,240
motion_0112.jpg,2448.19,86.16,59.26,115.78,49.48,320,240
motion_0113.jpg,2449.18,85.98,59.13,115.68,49.49,320,240
motion_0114.jpg,2444.54,85.69,58.88,115.73,49.44,320,240
motion_0115.jpg,2459.2,85.62,58.85,115.91,49.59,320,240
motion_0116.jpg,2456.05,85.63,58.77,115.97,49.56,320,240
motion_0117.jpg,2451.09,85.67,58.85,116.12,49.51,320,240
motion_0118.jpg,2456.61,86.07,59.15,116.14,49.56,320,240
motion_0119.jpg,2454.2,86.5,59.95,116.3,49.54,320,240
motion_0120.jpg,2454.86,86.86,60.66,116.46,49.55,320,240
motion_0121.jpg,2467.97,87.01,60.87,116.66,49.68,320,240
motion_0122.jpg,2464.85,87.0,60.87,116.75,49.65,320,240
motion_0123.jpg,2468.39,86.95,60.79,116.76,49.68,320,240
motion_0124.jpg,2462.03,86.9,60.74,116.61,49.62,320,240
motion_0125.jpg,2463.54,86.75,60.61,116.66,49.63,320,240
motion_0126.jpg,2493.31,86.46,60.3,116.93,49.93,320,240
motion_0127.jpg,2491.32,86.27,60.12,116.87,49.91,320,240
motion_0128.jpg,2485.07,85.94,59.87,116.69,49.85,320,240
motion_0129.jpg,2478.5,85.57,59.55,116.34,49.78,320,240
motion_0130.jpg,2493.25,85.37,59.3,116.75,49.93,320,240
motion_0131.jpg,2488.84,85.05,58.89,116.72,49.89,320,240
motion_0132.jpg,2486.5,85.02,58.83,116.65,49.86,320,240
motion_0133.jpg,2480.94,85.14,58.84,116.55,49.81,320,240
motion_0134.jpg,2484.81,85.46,59.06,116.55,49.85,320,240
motion_0135.jpg,2460.05,85.86,59.36,116.66,49.6,320,240
motion_0136.jpg,2458.28,85.88,59.37,116.62,49.58,320,240
motion_0137.jpg,2458.0,85.8,59.27,116.46,49.58,320,240
motion_0138.jpg,2456.57,85.76,59.19,116.46,49.56,320,240
motion_0139.jpg,2456.67,85.89,59.28,116.67,49.56,320,240
motion_0140.jpg,2457.11,86.02,59.4,116.72,49.57,320,240
motion_0141.jpg,2441.54,85.79,58.99,116.47,49.41,320,240
motion_0142.jpg,2447.37,85.58,58.96,116.75,49.47,320,240
motion_0143.jpg,2457.34,85.91,59.31,117.29,49.57,320,240
motion_0144.jpg,2455.36,85.92,59.39,117.12,49.55,320,240
motion_0145.jpg,2443.51,85.96,59.57,116.65,49.43,320,240
motion_0146.jpg,2501.52,86.27,59.77,117.71,50.02,320,240
motion_0147.jpg,2491.86,86.34,60.01,117.26,49.92,320,240
motion_0148.jpg,2491.61,86.49,60.25,117.24,49.92,320,240
motion_0149.jpg,2484.54,86.62,60.47,117.11,49.85,320,240
motion_0150.jpg,2476.93,86.98,60.62,117.15,49.77,320,240
motion_0151.jpg,2481.61,87.19,60.55,117.04,49.82,320,240
motion_0152.jpg,2493.53,87.24,60.66,116.77,49.94,320,240
motion_0153.jpg,2489.32,87.4,60.82,116.73,49.89,320,240
motion_0154.jpg,2485.33,87.34,60.84,116.66,49.85,320,240
motion_0155.jpg,2489.22,86.8,60.74,116.48,49.89,320,240
motion_0156.jpg,2491.47,86.49,60.24,116.62,49.91,320,240
motion_0157.jpg,2496.3,86.24,59.76,116.77,49.96,320,240
motion_0158.jpg,2523.54,86.14,59.68,117.43,50.23,320,240
motion_0159.jpg,2522.9,86.1,59.63,117.6,50.23,320,240
motion_0160.jpg,2520.83,85.99,59.47,117.5,50.21,320,240
motion_0161.jpg,2518.62,85.7,59.07,117.4,50.19,320,240
motion_0162.jpg,2504.42,85.48,58.89,117.41,50.04,320,240
